,,,,,,,,,,,,,,,,
,売上,,粗利,,,,,,,,,,,,,
,"¥1,900,000",,"¥1,450,000",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,粗利率,76.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,
,NADESHIKO,サイバーバズ,マジョリカマジョルカ,語りたい倶楽部,RCP,課税,TT投稿費用,"¥450,000","¥450,000","¥270,000",¥0,FALSE,KO,進行中,二次利用あり,2ヶ月サイクル
,NADESHIKO,FinT,アンレーベル美容液,成分オタクちゃん,AJP,課税,TT投稿費用,"¥350,000",¥0,¥0,¥0,TRUE,"¥350,000",進行中,,
,NADESHIKO,株式会社Ｙｕ－ｋｉ,Yu-ki,成分オタクちゃん,AJP,課税,TT投稿費用,"¥300,000",¥0,¥0,¥0,TRUE,"¥300,000",進行中,,
,NADESHIKO,bitstar,セラムヴェール ディープリペア,ももそら,AJP,課税,TT投稿費用,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",進行中,,
,NADESHIKO,bitstar,セラムヴェール ディープリペア,成分オタクちゃん,AJP,課税,TT投稿費用,"¥350,000",¥0,¥0,¥0,FALSE,"¥350,000",進行中,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,
,,,,,,,,¥0,¥0,¥0,¥0,FALSE,¥0,,,